      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -9.85500000e-01    1.46370198e-01    1.64476816e-06    1.29873264e-07
  -9.85400000e-01    1.46370198e-01    1.64476576e-06    1.29867004e-07
  -9.85300000e-01    1.46370198e-01    1.64476337e-06    1.29860743e-07
  -9.85200000e-01    1.46370198e-01    1.64476098e-06    1.29854483e-07
  -9.85100000e-01    1.46370198e-01    1.64475858e-06    1.29848223e-07
  -9.85000000e-01    1.46370198e-01    1.64475619e-06    1.29841962e-07
  -9.84900000e-01    1.46370198e-01    1.64475380e-06    1.29835702e-07
  -9.84800000e-01    1.46370198e-01    1.64475141e-06    1.29829442e-07
  -9.84700000e-01    1.46370198e-01    1.64474901e-06    1.29823182e-07
  -9.84600000e-01    1.46370198e-01    1.64474662e-06    1.29816921e-07
  -9.84500000e-01    1.46370198e-01    1.64474423e-06    1.29810661e-07
  -9.84400000e-01    1.46370198e-01    1.64474184e-06    1.29804401e-07
  -9.84300000e-01    1.46370198e-01    1.64473944e-06    1.29798141e-07
  -9.84200000e-01    1.46370198e-01    1.64473705e-06    1.29791881e-07
  -9.84100000e-01    1.46370198e-01    1.64473466e-06    1.29785621e-07
  -9.84000000e-01    1.46370198e-01    1.64473227e-06    1.29779361e-07
  -9.83900000e-01    1.46370198e-01    1.64472987e-06    1.29773101e-07
  -9.83800000e-01    1.46370198e-01    1.64472748e-06    1.29766841e-07
  -9.83700000e-01    1.46370198e-01    1.64472509e-06    1.29760581e-07
  -9.83600000e-01    1.46370198e-01    1.64472270e-06    1.29754321e-07
  -9.83500000e-01    1.46370198e-01    1.64472030e-06    1.29748061e-07
  -9.83400000e-01    1.46370198e-01    1.64471791e-06    1.29741801e-07
  -9.83300000e-01    1.46370198e-01    1.64471552e-06    1.29735541e-07
  -9.83200000e-01    1.46370198e-01    1.64471313e-06    1.29729281e-07
  -9.83100000e-01    1.46370198e-01    1.64471073e-06    1.29723021e-07
  -9.83000000e-01    1.46370198e-01    1.64470834e-06    1.29716761e-07
  -9.82900000e-01    1.46370198e-01    1.64470595e-06    1.29710501e-07
  -9.82800000e-01    1.46370198e-01    1.64470356e-06    1.29704242e-07
  -9.82700000e-01    1.46370198e-01    1.64470116e-06    1.29697982e-07
  -9.82600000e-01    1.46370198e-01    1.64469877e-06    1.29691722e-07
  -9.82500000e-01    1.46370198e-01    1.64469638e-06    1.29685462e-07
  -9.82400000e-01    1.46370198e-01    1.64469399e-06    1.29679203e-07
  -9.82300000e-01    1.46370198e-01    1.64469159e-06    1.29672943e-07
