      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -8.68000000e-02   -6.16414471e-01    1.09303652e-06   -6.03764986e-07
  -8.67000000e-02   -6.16414471e-01    1.09283515e-06   -6.03071120e-07
  -8.66000000e-02   -6.16414471e-01    1.09263393e-06   -6.02377183e-07
  -8.65000000e-02   -6.16414471e-01    1.09243284e-06   -6.01683175e-07
  -8.64000000e-02   -6.16414471e-01    1.09223191e-06   -6.00989098e-07
  -8.63000000e-02   -6.16414470e-01    1.09203111e-06   -6.00294950e-07
  -8.62000000e-02   -6.16414470e-01    1.09183046e-06   -5.99600733e-07
  -8.61000000e-02   -6.16414470e-01    1.09162995e-06   -5.98906446e-07
  -8.60000000e-02   -6.16414470e-01    1.09142959e-06   -5.98212092e-07
  -8.59000000e-02   -6.16414470e-01    1.09122937e-06   -5.97517668e-07
  -8.58000000e-02   -6.16414470e-01    1.09102930e-06   -5.96823178e-07
  -8.57000000e-02   -6.16414470e-01    1.09082937e-06   -5.96128620e-07
  -8.56000000e-02   -6.16414470e-01    1.09062958e-06   -5.95433994e-07
  -8.55000000e-02   -6.16414470e-01    1.09042995e-06   -5.94739303e-07
  -8.54000000e-02   -6.16414469e-01    1.09023046e-06   -5.94044545e-07
  -8.53000000e-02   -6.16414469e-01    1.09003111e-06   -5.93349721e-07
  -8.52000000e-02   -6.16414469e-01    1.08983191e-06   -5.92654833e-07
  -8.51000000e-02   -6.16414469e-01    1.08963286e-06   -5.91959879e-07
  -8.50000000e-02   -6.16414469e-01    1.08943396e-06   -5.91264860e-07
  -8.49000000e-02   -6.16414469e-01    1.08923520e-06   -5.90569778e-07
  -8.48000000e-02   -6.16414469e-01    1.08903659e-06   -5.89874632e-07
  -8.47000000e-02   -6.16414469e-01    1.08883813e-06   -5.89179422e-07
  -8.46000000e-02   -6.16414469e-01    1.08863982e-06   -5.88484150e-07
  -8.45000000e-02   -6.16414469e-01    1.08844166e-06   -5.87788815e-07
  -8.44000000e-02   -6.16414468e-01    1.08824365e-06   -5.87093418e-07
  -8.43000000e-02   -6.16414468e-01    1.08804579e-06   -5.86397959e-07
  -8.42000000e-02   -6.16414468e-01    1.08784807e-06   -5.85702439e-07
  -8.41000000e-02   -6.16414468e-01    1.08765051e-06   -5.85006858e-07
  -8.40000000e-02   -6.16414468e-01    1.08745310e-06   -5.84311217e-07
  -8.39000000e-02   -6.16414468e-01    1.08725583e-06   -5.83615515e-07
  -8.38000000e-02   -6.16414468e-01    1.08705872e-06   -5.82919753e-07
  -8.37000000e-02   -6.16414468e-01    1.08686176e-06   -5.82223932e-07
  -8.36000000e-02   -6.16414468e-01    1.08666496e-06   -5.81528053e-07
  -8.35000000e-02   -6.16414467e-01    1.08646830e-06   -5.80832114e-07
  -8.34000000e-02   -6.16414467e-01    1.08627180e-06   -5.80136118e-07
  -8.33000000e-02   -6.16414467e-01    1.08607544e-06   -5.79440063e-07
